表名,中文用途/注释,ESG分类,表类型,录入属性,当前行数
construction_stage_record,项目工期主阶段,综合,业务事实表,必须人工录入,5
dashboard_kpi_detail_snapshot,领导层 KPI 详情弹窗快照,综合,业务事实表,系统自动生成/计算,11
dashboard_panel_snapshot,领导层首页面板快照,综合,业务事实表,系统自动生成/计算,1
dashboard_topic_snapshot,领导层专题弹窗快照,综合,业务事实表,系统自动生成/计算,2
data_ingestion_job,数据接入任务表,综合,业务事实表,系统自动生成/计算,91
data_mapping_rule,多源字段映射规则表,综合,关联表,必须人工录入,14
data_quality_check_result,数据质量校验结果表,综合,业务事实表,必须人工录入,92
data_source_registry,数据来源登记表,综合,业务事实表,必须人工录入,11
deduplication_record,文件去重记录,综合,业务事实表,必须人工录入,39
dict_document_type,资料类型字典,综合,配置表,文件上传关联,11
dict_esg_module,ESG模块字典,综合,配置表,必须人工录入,3
document_record,资料主档,综合,业务事实表,文件上传关联,199
document_task_relation,资料任务关联,综合,关联表,文件上传关联,53
document_version,资料版本,综合,业务事实表,文件上传关联,137
e01_exceed_event,E,E,业务事实表,系统自动生成/计算,3
e01_factor_definition,E,E,配置表,必须人工录入,6
e01_factor_result,E,E,业务事实表,必须人工录入,37
e01_legacy_record_mapping,E,E,关联表,必须人工录入,0
e01_monitor_batch,E,E,业务事实表,必须人工录入,19
e01_monitor_plan,E,E,业务事实表,必须人工录入,3
e01_monitor_plan_item,E,E,业务事实表,必须人工录入,4
e01_monitor_point,E,E,业务事实表,必须人工录入,4
e01_monitor_sample,E,E,业务事实表,必须人工录入,19
e01_rectification_round,E,E,业务事实表,必须人工录入,3
e01_retest_result_link,E,E,关联表,必须人工录入,1
e01_retest_round,E,E,业务事实表,必须人工录入,1
e01_standard_limit,E,E,业务事实表,必须人工录入,6
e01_standard_version,E,E,业务事实表,必须人工录入,3
e_case_evidence,综合,综合,业务事实表,文件上传关联,29
e_case_party,综合,综合,业务事实表,必须人工录入,41
e_case_rectification_link,综合,综合,关联表,必须人工录入,3
e_case_relation,综合,综合,关联表,必须人工录入,0
e_case_status_history,综合,综合,业务事实表,系统自动生成/计算,64
e_closure_case,综合,综合,业务事实表,必须人工录入,17
e_rectification_task,综合,综合,业务事实表,必须人工录入,3
engineering_object_phase,综合,综合,业务事实表,必须人工录入,4
env_issue_record,环保问题记录,E,业务事实表,必须人工录入,10
env_monitoring_record,环境监测记录,E,业务事实表,必须人工录入,3
esg_demo_indicator_detail,Demo 指标对象明细,综合,业务事实表,必须人工录入,12
esg_demo_indicator_result,Demo 指标结果适配层,综合,业务事实表,系统自动生成/计算,12
esg_schema_migration_history,ESG 项目 Schema 迁移历史记录表（V1.1 引导）,综合,业务事实表,系统自动生成/计算,104
file_asset,文件资产,综合,业务事实表,文件上传关联,236
gis_feature,综合,综合,业务事实表,必须人工录入,10
gis_feature_business_relation,综合,综合,关联表,必须人工录入,29
gis_feature_business_summary,综合,综合,业务事实表,系统自动生成/计算,10
gis_layer,综合,综合,业务事实表,必须人工录入,10
indicator_calculation_job,指标计算任务表,综合,业务事实表,系统自动生成/计算,2
indicator_definition,指标定义,综合,配置表,必须人工录入,12
indicator_history,指标历史结果表,综合,业务事实表,系统自动生成/计算,2
indicator_result,指标当前结果,综合,业务事实表,系统自动生成/计算,12
indicator_snapshot,指标/页面快照,综合,业务事实表,系统自动生成/计算,0
indicator_source_dependency,指标数据源依赖表,综合,业务事实表,必须人工录入,15
labor_dispute_record,劳务纠纷记录,S,业务事实表,必须人工录入,3
manual_confirmation_log,人工确认记录,综合,业务事实表,必须人工录入,181
monitor_frequency_rule,E,E,配置表,必须人工录入,5
monitor_point_object_relation,E,E,关联表,必须人工录入,4
monthly_report_chapter,月报章节清单,综合,业务事实表,必须人工录入,6
monthly_report_cycle,月报周期主表,综合,业务事实表,必须人工录入,1
monthly_report_gap,月报缺项清单,综合,业务事实表,必须人工录入,6
monthly_report_group_progress,月报分组完成进度,综合,业务事实表,必须人工录入,3
monthly_report_status_chain,月报状态链,综合,业务事实表,必须人工录入,5
monthly_report_task_instance,月报资料任务实例统计扩展表,综合,业务事实表,必须人工录入,22
monthly_report_task_material_link,月报任务所需资料及资料关联,综合,关联表,必须人工录入,22
monthly_report_task_validation,月报任务完整性校验与补正记录,综合,业务事实表,必须人工录入,22
org_unit,组织机构,综合,业务事实表,必须人工录入,5
permit_record,许可事项,G,业务事实表,必须人工录入,5
project_engineering_object,综合,综合,业务事实表,必须人工录入,4
project_phase_period,综合,综合,业务事实表,必须人工录入,3
project_section,综合,综合,业务事实表,必须人工录入,3
rectification_record,整改事项,G,业务事实表,必须人工录入,9
review_record,审核记录,综合,业务事实表,必须人工录入,61
review_requirement,审核补正要求,综合,业务事实表,必须人工录入,39
review_timeline,审核轨迹,综合,业务事实表,必须人工录入,174
s01_confirmation_batch,S01 建设单位确认批次,S,业务事实表,必须人工录入,1
safety_incident_record,安全生产事故台账,S,业务事实表,必须人工录入,0
safety_production_record,连续安全生产记录,S,业务事实表,必须人工录入,2
safety_risk_point,安全风险点,S,业务事实表,必须人工录入,10
salary_payment_record,工资支付记录,S,业务事实表,必须人工录入,0
source_record_trace,业务记录来源追溯表,综合,业务事实表,必须人工录入,92
special_plan_approval,ESG risk special-plan approval facts,G,业务事实表,必须人工录入,0
task_candidate_document,任务办理候选关联资料,综合,业务事实表,必须人工录入,5
task_match_candidate,AI候选任务匹配,综合,业务事实表,必须人工录入,205
task_review_timeline,任务办理审核时间线,综合,业务事实表,必须人工录入,201
upload_task,上传任务,综合,业务事实表,文件上传关联,54
upload_task_requirement,上传任务资料要求,综合,业务事实表,文件上传关联,91
user_account,用户账号,综合,业务事实表,必须人工录入,5
water_protection_issue,水保问题记录,E,业务事实表,必须人工录入,16
workspace_summary,工作台摘要快照,综合,业务事实表,系统自动生成/计算,1
