表名,中文用途/注释,ESG分类,表类型,录入属性,当前行数
e_rectification_task,综合,综合,业务事实表,必须人工录入,3
engineering_object_phase,综合,综合,业务事实表,必须人工录入,4
env_issue_record,环保问题记录,E,业务事实表,必须人工录入,10
env_monitoring_record,环境监测记录,E,业务事实表,必须人工录入,3
esg_demo_indicator_detail,Demo 指标对象明细,综合,业务事实表,必须人工录入,12
gis_feature,综合,综合,业务事实表,必须人工录入,10
gis_feature_business_relation,综合,综合,关联表,必须人工录入,29
gis_layer,综合,综合,业务事实表,必须人工录入,10
indicator_definition,指标定义,综合,配置表,必须人工录入,12
indicator_source_dependency,指标数据源依赖表,综合,业务事实表,必须人工录入,15
labor_dispute_record,劳务纠纷记录,S,业务事实表,必须人工录入,3
manual_confirmation_log,人工确认记录,综合,业务事实表,必须人工录入,181
monitor_frequency_rule,E,E,配置表,必须人工录入,5
monitor_point_object_relation,E,E,关联表,必须人工录入,4
monthly_report_chapter,月报章节清单,综合,业务事实表,必须人工录入,6
monthly_report_cycle,月报周期主表,综合,业务事实表,必须人工录入,1
monthly_report_gap,月报缺项清单,综合,业务事实表,必须人工录入,6
monthly_report_group_progress,月报分组完成进度,综合,业务事实表,必须人工录入,3
monthly_report_status_chain,月报状态链,综合,业务事实表,必须人工录入,5
monthly_report_task_instance,月报资料任务实例统计扩展表,综合,业务事实表,必须人工录入,22
monthly_report_task_material_link,月报任务所需资料及资料关联,综合,关联表,必须人工录入,22
monthly_report_task_validation,月报任务完整性校验与补正记录,综合,业务事实表,必须人工录入,22
org_unit,组织机构,综合,业务事实表,必须人工录入,5
permit_record,许可事项,G,业务事实表,必须人工录入,5
project_engineering_object,综合,综合,业务事实表,必须人工录入,4
project_phase_period,综合,综合,业务事实表,必须人工录入,3
project_section,综合,综合,业务事实表,必须人工录入,3
rectification_record,整改事项,G,业务事实表,必须人工录入,9
review_record,审核记录,综合,业务事实表,必须人工录入,61
review_requirement,审核补正要求,综合,业务事实表,必须人工录入,39
review_timeline,审核轨迹,综合,业务事实表,必须人工录入,174
s01_confirmation_batch,S01 建设单位确认批次,S,业务事实表,必须人工录入,1
safety_incident_record,安全生产事故台账,S,业务事实表,必须人工录入,0
safety_production_record,连续安全生产记录,S,业务事实表,必须人工录入,2
safety_risk_point,安全风险点,S,业务事实表,必须人工录入,10
salary_payment_record,工资支付记录,S,业务事实表,必须人工录入,0
source_record_trace,业务记录来源追溯表,综合,业务事实表,必须人工录入,92
special_plan_approval,ESG risk special-plan approval facts,G,业务事实表,必须人工录入,0
task_candidate_document,任务办理候选关联资料,综合,业务事实表,必须人工录入,5
task_match_candidate,AI候选任务匹配,综合,业务事实表,必须人工录入,205
task_review_timeline,任务办理审核时间线,综合,业务事实表,必须人工录入,201
user_account,用户账号,综合,业务事实表,必须人工录入,5
water_protection_issue,水保问题记录,E,业务事实表,必须人工录入,16
